mapping_period,old_poz_no,new_poz_no,source_url,evidence,mapping_type
2026,35.160.7415,35.170.4005,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7415 35.170.4005 35.740.1110,official
2026,35.160.7420,35.170.4006,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7420 35.170.4006 35.740.1111,official
2026,35.160.7425,35.170.5200,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7425 35.170.5200 35.740.1112,official
2026,35.160.7430,35.170.5201,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7430 35.170.5201 35.740.1113,official
2026,35.160.7435,35.170.5202,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.160.7435 35.170.5202 35.740.1114,official
2026,35.170.1000,35.170.5203,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1000 35.170.5203 35.740.1115,official
2026,35.170.1101,35.170.5210,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1101 35.170.5210 35.740.1116,official
2026,35.170.1102,35.170.8100,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1102 35.170.8100 35.740.1117,official
2026,35.170.1103,35.170.8105,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1103 35.170.8105 35.740.1118,official
2026,35.170.1104,35.170.8110,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1104 35.170.8110 35.740.1119,official
2026,35.170.1105,35.170.8115,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1105 35.170.8115 35.740.1120,official
2026,35.170.1106,35.170.8120,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1106 35.170.8120 35.740.1121,official
2026,35.170.1107,35.190.1400,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1107 35.190.1400 35.740.1122,official
2026,35.170.1108,35.410.0000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1108 35.410.0000 35.740.1123,official
2026,35.170.1200,35.415.0000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1200 35.415.0000 35.740.1124,official
2026,35.170.1201,35.420.0000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1201 35.420.0000 35.750.1000,official
2026,35.170.1202,35.420.2150,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1202 35.420.2150 35.750.1500,official
2026,35.170.1301,35.430.0000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1301 35.430.0000,official
2026,35.170.1302,35.430.1000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1302 35.430.1000,official
2026,35.170.1303,35.430.1320,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1303 35.430.1320,official
2026,35.170.1304,35.430.1325,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1304 35.430.1325,official
2026,35.170.1601,35.430.1328,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1601 35.430.1328,official
2026,35.170.1602,35.440.2000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1602 35.440.2000,official
2026,35.170.1603,35.440.2100,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1603 35.440.2100,official
2026,35.170.1700,35.445.1501,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1700 35.445.1501,official
2026,35.170.1701,35.445.1502,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1701 35.445.1502,official
2026,35.170.1702,35.445.1503,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1702 35.445.1503,official
2026,35.170.1703,35.445.1504,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1703 35.445.1504,official
2026,35.170.1751,35.445.1505,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1751 35.445.1505,official
2026,35.170.1752,35.500.1000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1752 35.500.1000,official
2026,35.170.1801,35.500.2000,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,35.170.1801 35.500.2000,official
